page_id,page_title,view_count,protection_level,protection_expiry,page_length,page_id_scrapped,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
1215734,Allama Iqbal Open University,349943,unprotected,,8582,1215734,25,14,3,19425,502,0,0,14
437301,Institute of Cetacean Research,91405,unprotected,,39355,437301,56,4,6,635,521,0,0,14
664301,The Carnivorous Carnival,511185,unprotected,,7538,664301,37,2,3,1659,554,0,0,14
2739220,Johnson C. Smith University,272871,unprotected,,23710,2739220,25,14,5,2630,718,0,0,14
1872569,Maria Miller,266437,unprotected,,46310,1872569,32,14,4,2080,736,0,0,14
17626789,1929 Hebron massacre,402155,extendedconfirmed, infinity,46977,17626789,184,16,6,3519,1090,0,0,14
15438126,"Montlaur, Aveyron",6309,unprotected,,2155,15438126,25,14,0,18,55,1,1,14
2626808,Masha Bruskina,141900,unprotected,,9185,2626808,25,14,0,3350,188,1,1,14
738471,Digbeth,125260,unprotected,,23261,738471,25,14,1,1298,209,1,1,14
756618,Metsovo,118794,unprotected,,35904,756618,25,14,13,3140,340,1,1,14
662987,Myst IV: Revelation,260286,unprotected,,33610,662987,69,6,8,2867,479,1,1,14
16041273,Saint-Jean-Poudge,7515,unprotected,,1978,16041273,25,14,0,12,52,2,1,14
3187690,Anne Suzuki,176173,unprotected,,5308,3187690,25,14,6,2851,234,2,2,14
5984234,Gallic rooster,579449,unprotected,,9315,5984234,42,7,2,8349,240,2,1,14
2265031,Cashmere High School,41737,unprotected,,16227,2265031,25,14,1,339,334,2,2,14
25858615,Rodger Dean Duncan,14213,unprotected,,8605,25858615,25,14,1,42,90,3,3,14
4707718,Gaya district,260613,unprotected,,17586,4707718,25,14,2,2740,385,3,3,14
2023424,Gewehr 98,2165486,unprotected,,60700,2023424,96,14,23,24945,1373,3,3,14
7289051,Democratic Kampuchea,1294807,unprotected,,94499,7289051,140,32,16,28700,1015,5,3,14
1345299,Ted King (actor),294049,unprotected,,9573,1345299,25,14,2,15837,307,11,3,14
430035,Great books,730325,unprotected,,55845,430035,244,24,10,9379,968,11,7,14
33997364,Mariana Cordero,9777,unprotected,,777,33997364,25,14,0,42,14,0,0,15
35648923,Jean Fonteyne,3227,unprotected,,579,35648923,25,14,0,1,14,0,0,15
21748693,Angelo de Rossi,10259,unprotected,,2189,21748693,25,14,2,27,16,0,0,15
41630368,Hippolyte Fortoul,9765,unprotected,,3649,41630368,25,14,0,28,23,0,0,15
27483267,Renato Treves,8835,unprotected,,2596,27483267,25,14,0,16,24,0,0,15
37771482,Vittorio Cotesta,5033,unprotected,,9763,37771482,25,14,0,7,28,0,0,15
32744152,Johannes Zwick,9740,unprotected,,1608,32744152,25,14,1,39,30,0,0,15
30556769,Richard Greenham,12987,unprotected,,6244,30556769,25,14,1,53,37,0,0,15
27138557,Junius Philargyrius,7374,unprotected,,2590,27138557,25,14,5,39,47,0,0,15
35788342,Sheldon Cohen (artist),13472,unprotected,,3228,35788342,25,14,1,68,51,0,0,15
9281156,Martin J. Hillenbrand,13711,unprotected,,3929,9281156,25,14,2,64,54,0,0,15
20644421,Petrus Ryff,14942,unprotected,,8118,20644421,25,14,0,228,56,0,0,15
7841805,Kotelniki,25193,unprotected,,4262,7841805,25,14,2,210,61,0,0,15
12674965,Hugh Edwards (journalist),15375,unprotected,,5317,12674965,25,14,0,125,64,0,0,15
24906900,Harold Gould Henderson,14480,unprotected,,6716,24906900,25,14,3,78,70,0,0,15
34148477,Ilan Averbuch,8934,unprotected,,19364,34148477,25,14,0,53,71,0,0,15
14653026,Parade (Spandau Ballet album),125041,unprotected,,4484,14653026,25,14,0,1742,73,0,0,15
541990,Cerqueux,5511,unprotected,,1738,541990,25,14,0,9,75,0,0,15
6489265,Workers' Communist Party of France,43806,unprotected,,3801,6489265,25,14,5,571,76,0,0,15
27484113,Ales Michalevic,17305,unprotected,,9636,27484113,25,14,3,129,82,0,0,15
34389,Yukinobu Hoshino,54734,unprotected,,4551,34389,25,14,4,422,86,0,0,15
7538828,George Pattison,32117,unprotected,,7772,7538828,25,14,1,278,90,0,0,15
23300244,Lionel S. Reiss,14703,unprotected,,4533,23300244,25,14,0,162,93,0,0,15
12643718,Get It On (Intenso Project song),20041,unprotected,,5694,12643718,25,14,0,172,94,0,0,15
4772667,Mikael Strandberg,11826,unprotected,,4483,4772667,25,14,0,73,113,0,0,15
4872122,Phil Cunningham (folk musician),95044,unprotected,,6911,4872122,25,14,0,766,119,0,0,15
16322464,168th Air Refueling Squadron,27616,unprotected,,16110,16322464,25,14,5,126,125,0,0,15
1470010,Lough Key,57805,unprotected,,9291,1470010,25,14,4,560,126,0,0,15
5928556,Paul Olaf Bodding,40026,unprotected,,4679,5928556,25,14,2,206,129,0,0,15
27295791,Michael Marcus (musician),13722,unprotected,,3549,27295791,25,14,0,53,144,0,0,15
116407,"St. Charles, Maryland",56278,unprotected,,11050,116407,25,14,3,313,146,0,0,15
2844164,William Tyler Page,84915,unprotected,,11224,2844164,25,14,1,279,149,0,0,15
27336158,R. A. W. Rhodes,33996,unprotected,,22208,27336158,25,14,1,156,164,0,0,15
97606,Tommy Ladnier,31281,unprotected,,16134,97606,25,14,4,182,165,0,0,15
14418222,Benita Hume,302174,unprotected,,5826,14418222,25,14,0,2835,190,0,0,15
41414319,Sophia Amoruso,2885266,unprotected,,18081,41414319,25,14,0,10757,193,0,0,15
5657230,José Cid,74381,unprotected,,20762,5657230,25,14,2,508,212,0,0,15
8965457,"Concerto for Flute, Harp, and Orchestra (Mozart)",85383,unprotected,,9914,8965457,25,14,5,769,217,0,0,15
3022317,Tintin (magazine),100686,unprotected,,17664,3022317,25,14,3,1120,232,0,0,15
4151523,Madonna Live: The Virgin Tour,72191,unprotected,,19129,4151523,25,14,3,1113,273,0,0,15
7988780,"Louis Auguste, Duke of Maine",193161,unprotected,,18069,7988780,25,14,7,3262,317,0,0,15
3371788,Golda Och Academy,28413,unprotected,,16595,3371788,25,14,2,240,328,0,0,15
378331,Thomas Perkins (businessman),492400,unprotected,,20238,378331,45,2,1,7061,355,0,0,15
883437,Shallow Grave,806760,unprotected,,15919,883437,42,14,3,11545,506,0,0,15
2272570,Denise Nickerson,1257311,unprotected,,24760,2272570,52,11,0,12965,547,0,0,15
12204363,Instinct (song),17730,unprotected,,5761,12204363,25,14,1,135,48,1,1,15
3216369,Vaucresson,34958,unprotected,,4190,3216369,25,14,0,294,85,1,1,15
926560,Samuel Blatchford,67975,unprotected,,17286,926560,25,14,4,397,162,1,1,15
1570129,Prince of Wales Theatre,135051,unprotected,,14989,1570129,36,3,4,1360,206,1,1,15
