page_id,page_title,view_count,protection_level,protection_expiry,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories,protection_expiry,protection_expiry_date,protection_expiry_time,protection_duration_days,timestamp,protection_expiry_flag
30826366,1942 in Germany,92190,autoconfirmed,,60341,81,13,36,153060,1428,35,22,13, 2021-08-20T22:55:14Z, 2021-08-20,22:55:14Z,0, 2021-08-20,0
31455970,1927 in Germany,26436,autoconfirmed,,6147,Fewer than 30 watchers,,7,5378,491,26,12,7, 2021-08-20T14:55:07Z, 2021-08-20,14:55:07Z,0, 2021-08-20,0
31459358,1931 in Germany,33786,autoconfirmed,,27896,Fewer than 30 watchers,,0,45658,536,28,16,10, 2021-08-20T16:56:21Z, 2021-08-20,16:56:21Z,0, 2021-08-20,0
31581587,1928 in Germany,19830,autoconfirmed,,49839,37,25,19,37507,736,18,8,17, 2021-08-20T15:15:12Z, 2021-08-20,15:15:12Z,0, 2021-08-20,0
31593209,1911 in Germany,15938,autoconfirmed,,124773,Fewer than 30 watchers,,2,834,2156,5,3,8, 2021-08-20T08:40:32Z, 2021-08-20,08:40:32Z,0, 2021-08-20,0
31645230,1910 in Germany,23809,autoconfirmed,,181430,Fewer than 30 watchers,,2,460,1422,4,2,8, 2021-08-20T08:40:22Z, 2021-08-20,08:40:22Z,0, 2021-08-20,0
32238648,1913 in Germany,19549,autoconfirmed,,123252,Fewer than 30 watchers,,0,1452,2038,4,2,11, 2021-08-20T08:40:39Z, 2021-08-20,08:40:39Z,0, 2021-08-20,0
32295752,1901 in Germany,17145,autoconfirmed,,27710,Fewer than 30 watchers,,3,130135,539,9,6,10, 2021-08-20T02:47:25Z, 2021-08-20,02:47:25Z,0, 2021-08-20,0
32317162,1897 in Germany,13636,autoconfirmed,,571,Fewer than 30 watchers,,2,382,85,15,7,8, 2021-08-20T02:12:23Z, 2021-08-20,02:12:23Z,0, 2021-08-20,0
32323491,1892 in Germany,14773,autoconfirmed,,52731,239,43,6,23913,1621,0,0,22, 2021-08-20T00:48:49Z, 2021-08-20,00:48:49Z,0, 2021-08-20,0
32337802,1891 in Germany,14698,autoconfirmed,,146746,32,7,1,5381,2637,2,1,14, 2021-08-20T00:43:00Z, 2021-08-20,00:43:00Z,0, 2021-08-20,0
32389788,1903 in Germany,16104,autoconfirmed,,63410,151,20,5,71659,1850,38,27,17, 2021-08-20T03:04:42Z, 2021-08-20,03:04:42Z,0, 2021-08-20,0
32393492,1916 in Germany,14763,autoconfirmed,,13799,Fewer than 30 watchers,,1,212,105,12,5,10, 2021-08-20T11:16:53Z, 2021-08-20,11:16:53Z,0, 2021-08-20,0
33438108,1908 in Germany,17600,autoconfirmed,,83258,212,25,25,42032,8649,18,13,23, 2021-08-20T04:54:05Z, 2021-08-20,04:54:05Z,0, 2021-08-20,0
33438272,1909 in Germany,13986,autoconfirmed,,106502,Fewer than 30 watchers,,2,825,1386,6,4,10, 2021-08-20T08:39:35Z, 2021-08-20,08:39:35Z,0, 2021-08-20,0
33478992,1889 in Germany,14242,autoconfirmed,,38876,67,13,1,52573,506,2,2,7, 2021-08-20T00:31:05Z, 2021-08-20,00:31:05Z,0, 2021-08-20,0
33545087,1894 in Germany,11685,autoconfirmed,,38109,160,26,18,4518,759,13,11,25, 2021-08-20T02:07:50Z, 2021-08-20,02:07:50Z,0, 2021-08-20,0
57711958,1917 (2019 film),12670941,autoconfirmed,,18909,31,18,3,16209,1109,113,51,8, 2021-08-20T12:17:51Z, 2021-08-20,12:17:51Z,0, 2021-08-20,0
34670,1988,1098300,autoconfirmed,,125,Fewer than 30 watchers,,0,905,2,2,1,5, 2021-08-21T23:59:55Z, 2021-08-21,23:59:55Z,1, 2021-08-20,0
34761,1986,1040192,autoconfirmed,,49902,48,15,2,129281,1019,14,10,15, 2021-08-21T20:15:19Z, 2021-08-21,20:15:19Z,1, 2021-08-20,0
1102585,1987 New Brunswick general election,24329,autoconfirmed,,5932,Fewer than 30 watchers,,2,3279,29,29,11,6, 2021-08-21T23:59:55Z, 2021-08-21,23:59:55Z,1, 2021-08-20,0
1130104,1982 New Brunswick general election,8861,autoconfirmed,,18158,61,15,4,8065,463,23,9,9, 2021-08-21T15:47:19Z, 2021-08-21,15:47:19Z,1, 2021-08-20,0
3347996,1971 Bangladesh genocide,1682530,autoconfirmed,,36311,30,10,2,1987,482,0,0,14, 2021-08-21T15:42:21Z, 2021-08-21,15:42:21Z,1, 2021-08-20,0
24305505,1984 anti-Sikh riots,2371902,autoconfirmed,,37142,65,9,4,8665,687,13,11,27, 2021-08-21T16:41:26Z, 2021-08-21,16:41:26Z,1, 2021-08-20,0
30829065,1944 in Germany,59117,autoconfirmed,,39941,46,7,4,159046,1512,18,13,9, 2021-08-21T02:18:00Z, 2021-08-21,02:18:00Z,1, 2021-08-20,0
30829497,1945 in Germany,99274,autoconfirmed,,4825,Fewer than 30 watchers,,0,1297,505,13,7,7, 2021-08-21T02:22:29Z, 2021-08-21,02:22:29Z,1, 2021-08-20,0
36336560,1975 Sikkimese monarchy referendum,56331,autoconfirmed,,28558,Fewer than 30 watchers,,4,1500,383,1,1,7, 2021-08-21T15:45:01Z, 2021-08-21,15:45:01Z,1, 2021-08-20,0
37958046,1958 Syerston Avro Vulcan crash,60464,autoconfirmed,,75754,52,22,7,123677,1723,114,36,26, 2021-08-21T13:19:23Z, 2021-08-21,13:19:23Z,1, 2021-08-20,0
39030239,1980 Moradabad riots,121045,autoconfirmed,,78110,117,7,5,3192,856,0,0,12, 2021-08-21T15:45:52Z, 2021-08-21,15:45:52Z,1, 2021-08-20,0
44971567,1948 in Germany,20217,autoconfirmed,,149195,224,32,16,17995,1926,102,20,16, 2021-08-21T08:02:14Z, 2021-08-21,08:02:14Z,1, 2021-08-20,0
44971582,1949 in Germany,17802,autoconfirmed,,4229,Fewer than 30 watchers,,0,108,53,16,6,7, 2021-08-21T12:42:18Z, 2021-08-21,12:42:18Z,1, 2021-08-20,0
44971658,1952 in Germany,13958,autoconfirmed,,12406,Fewer than 30 watchers,,1,7922,414,16,13,5, 2021-08-21T12:52:48Z, 2021-08-21,12:52:48Z,1, 2021-08-20,0
44971742,1954 in Germany,14444,autoconfirmed,,59799,284,33,13,28275,2216,0,0,15, 2021-08-21T13:18:09Z, 2021-08-21,13:18:09Z,1, 2021-08-20,0
44971893,1958 in Germany,12164,autoconfirmed,,18492,Fewer than 30 watchers,,1,20153,750,0,0,12, 2021-08-21T15:20:28Z, 2021-08-21,15:20:28Z,1, 2021-08-20,0
44971929,1959 in Germany,15893,autoconfirmed,,5003,Fewer than 30 watchers,,1,10960,276,1,1,6, 2021-08-21T15:20:30Z, 2021-08-21,15:20:30Z,1, 2021-08-20,0
44976648,1966 in Germany,13960,autoconfirmed,,4316,Fewer than 30 watchers,,0,4681,61,1,1,4, 2021-08-21T15:20:32Z, 2021-08-21,15:20:32Z,1, 2021-08-20,0
44976675,1967 in Germany,13234,autoconfirmed,,66772,134,25,5,3347,1101,0,0,13, 2021-08-21T15:34:11Z, 2021-08-21,15:34:11Z,1, 2021-08-20,0
44976741,1969 in Germany,14881,autoconfirmed,,38853,149,10,4,3694,752,0,0,13, 2021-08-21T15:35:38Z, 2021-08-21,15:35:38Z,1, 2021-08-20,0
44976844,1973 in Germany,11479,autoconfirmed,,9507,Fewer than 30 watchers,,3,608,141,0,0,5, 2021-08-21T15:43:38Z, 2021-08-21,15:43:38Z,1, 2021-08-20,0
44976982,1980 in Germany,14789,autoconfirmed,,27411,Fewer than 30 watchers,,4,2604,228,0,0,11, 2021-08-21T15:46:38Z, 2021-08-21,15:46:38Z,1, 2021-08-20,0
44977046,1986 in Germany,14693,autoconfirmed,,112549,174,16,24,9033,8042,16,9,, 2021-08-21T22:14:56Z, 2021-08-21,22:14:56Z,1, 2021-08-20,0
34553,1999,1596988,autoconfirmed,,8732,Fewer than 30 watchers,,1,14401,152,22,14,7, 2021-08-22T15:57:34Z, 2021-08-22,15:57:34Z,2, 2021-08-20,0
64516,2,3890136,autoconfirmed,,11068,Fewer than 30 watchers,,1,103739,138,34,22,7, 2021-08-22T16:34:00Z, 2021-08-22,16:34:00Z,2, 2021-08-20,0
157233,2006 FIFA World Cup,8768959,autoconfirmed,,28660,Fewer than 30 watchers,,0,2709,728,1,1,3, 2021-08-22T22:30:19Z, 2021-08-22,22:30:19Z,2, 2021-08-20,0
